Series Number,Filename,Description,Gender,UUID,Hash,SHA-256
1,adewale-the-amebo,Adewale always wants to be in everyone's business.,male,cad316c3-37f8-4b27-9f53-9d803bfcfee7,E71B82700FFE4103D1AD92D1F4D92598945A480ABD0526D0110381362F8B3FAC,b'gAAAAABjY5zKvIcyzM5kT4fMsuYGWEvuU89XRP6PgQVXV8xedzmxpiFhj_eCRRQrAnbVr4iHVSQqNuqBunsyq7Uy6kNTFrLLMEPA0yKeHyeIrm9A0hKBXO4szEFRQARM19G1Tz25lUXmHfh-9gOp-9Tdkr3c07h1_u1BtcCSVAFmUWT-kHORPrBpv8N-SGW7dcBucTX_LWWsQEmoMrsYS17w86_0u5HyXywNa256jsTUQ0_t1ziMi3vpwa0HoQjx_movKShced8r-USk9UO_2LBKhUkOhGILDwW1Cv-qzn3ojgys9YSl5Np9Alw1KGfB5c-qIAF2lbryJQtNkhn2bX0RWn6PP37juyRw1j44u0TA8QXG4711SjAhalN3yb-h2iiJce0ehdHyf0ayYaLLhvqxqm3Et03gOz36q8G6ZErwUaGarwLlX1umpniwqSw4PyD9IgNQF4AQGrDkDkY0ZTFS2RQr3_ZVpUDDBzOfA7aeGcPW2IFcksiyKmHnXKU8GmFAcXmTx02wIr_vwiIjBHLf9l5nCWje3Q=='
2,alli-the-queeny,Alli is an LGBT Stan.,male,a57ecda4-a26f-4e97-a757-e1800af39aab,E1ECE1FFACC43C3A856DE6D02185DC046518EE91D7AB934D9AD4051A698046E2,b'gAAAAABjY5zK47Q9xQMxL_Dsxdhwk3yXF6FtFG8muvJAv3lf5t9VeuS6zA7vBXYbHl0Zfdv2W2jDzeDNTcSB8rpPAXI5mR_Kq3gDuJspCXRNvVELC7bXpCQRHSkJyYt21frKnu87MidPv8LgDSxuakCOLq_3J_2kH3raviC7iyDUbyZvfrMAhK-OD8pR8YywQsC9ZYQJgbSAPMLq-CW-Wgyi-riOl4SMA6-PgGEZq6-9oPNWPnzB5sVAEsCTIo00xD-WlY4bLu--61aVWRmkBopUSrONxpBzW_t3rDc71bjBd8SXxkFNd2eJHzBGYqtQz4zHtT59uakxnOtLa4P8rLXxNm0oXtDcxte4LyMEHxC_2TATXT2uYhtS8qqoMWh_gPvwRXkGcH7ZDG_c92xEPZCYpk1Wmtbyc-HRgAZkU8clidvvw5M9fBbFXbmlZvzyGXiOzeJ09o-YX_9CUO88ifT6dIkOMyKUDScH1XC9gHMdjuSpIkNIuzw='
3,aminat-the-snnobish,Aminat never really wants to talk to anyone.,female,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,02E9B48FA830E813FDBA85F7F3C9B6A2E2122BD5556195B38B6D3E529210DAD6,b'gAAAAABjY5zKHX2wGgink932feAEDN5FdmCrVVDDVwGYxLufml0kmSMYKuOnxNM1n-Xk9nYn9PkFTzUbbIjsDJZseSIGu1ZFKUo-7uEVsl1d_MUAPn4W4qqGmJiGgHlPLKSpwF3yJzgWzKcWIJ97oxeLtRb_peoWCzLSMjNDfGMf54Qqh34I39Yd_BXbOJvuOkYkO2aYAYxX7vNuPzDS__bfMA51oj9XEjDCPbzGJYB3zXiGZq3Lr1Fxq6JjqhXdSlhTrNOgCYyIiciRZiZuvqFlaj_fiwwLkO6SNqr-CvNyEqX6l1zJLnIu2EcFn_PhutmJTBMinxOBDBPHK4g7YYSTrRB4fmjG1SI2ypQx4PLOgXAoJyviAoboFLvTXW-QwpkWyV9Ak29kuWpI2DA6b5LLo9ovssEtkPKNnbwpX6CJyskLzE6wRpAzc3lC8wUtfKSjCBVUCDtbXbUwGmhRE9GfuaZnPnW5MnNmafsXmwuqAGGyqCZnOQTzEhX9fquQZ-Rr3cAGZck02sUySxocR1lqC2G5R-4pCw=='
4,aminu-the-carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,4f30b751-96e7-40fe-97fd-e3d44973ff2f,CC58CCBBE5CDDD21A43DC9725920280A02C319C8EE36B9A4F1895C4BCBF412E0,b'gAAAAABjY5zKJfjMuSeH_uE-74ljmcUWljAj5_j6B7sWc-kHMO04rht-rvgS-E4HbSNU631mYcdtSX5t7jQDl6Ac3UA0mqjMmgJPs3npPIce0DLb4qUNdzZtUKJ5Z0I7vul14otwmC86QJQdiDQVfacgLdUozw-9vmBcfg23N2svJgzOpM5KRgGsRR8F_pHutlUac3w2JVirovV3Narm7l8cRnilMIcbo8fEJ-fGRJvzKj45VeZYjzUhBSB34h9UslHt9lxl4Nx9Z5ufjC-m8k6I92QlP4GKFxP00C1Ae0oGdCoXMjFat0E8wsB73PIr7JxpVEXB-QA8H6n3mNIbLTga_cEran_ZNisIIj3zE9vATn7R8APyT6jTTy3ayrQ6kXfeulH3WP5H6_zytciYRMj-VPo1pSp_gZMDp8hSlyGRRBF-jsFY01vrdYifHgmhlaSerEzEfsGlLJpEJCnO1YlKEyQl8MMmDjiqI8YC4WaNVK0bMJKrTECeYexCRgVnVBV1Vjci_JdT_8g8BbNhYXmgpuQvymOQuQeRKYU7Nju0aW8Essd_sIDxWX6lKKcBKsDvnc_6WkIF'
5,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,2E5CD9BB363412B684A2B600B481B44C85781D976FC9DAE17E3CEF26D71E5CB5,b'gAAAAABjY5zKa5v6PlxbnNWWvD_rK0HCQ6FaiVom2jlu_8AlzOWkkZ9jstnLuuirVhhSGv5AfxkApiMie6HXM_5Uhi3ZOW0FAxxAehBO-xO96BUD22FSnoM6hvPKiu9rUD3siUBmIHOhSerkVuFQTMzUKVfz3qbVKKOy_XFXvsuUYiIKxfS-CaawfakpdEA0kjLRhR7iyeicI7DmT532WJr_9Um68PLH6P9M6554KMoknaCYQwpR4DbGcTwvu6jppVNqx8xuxfeNS01wWlPyif11QzQM31hFgki-xy7kscaPLpiOs5yW2JAFb3H7liFkmxuN06kasU7-fPRuzpqLdyn4wJc2IW3yFVudjKdQ8wQ1og6peq2aF0aFUo43RSRtzM0KJ0uugrooDk7IvgeQx1HJ0zHMyKB2-8Y5aks1z2bSheNwJLdPRSeecY1kd7pM_NjmAXIWLGmnj72K7V5neW3FHkDlt3pQYrdxoq2ey8ejv9ZCaNMgDx__-LAjuaXoTjE5WJ6UGW2Diz9d2oxu4LrDeSJozeYULA=='
6,chidinma-the-model,"From Paris' runways, to London's streets, she's always in demand.",female,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,2C2515DAB62937727F059931E64CBB23C220B4F8B1C4B2450C11AA60F78F80A0,b'gAAAAABjY5zKxSp_UOh2ys9Y4GNhSDuD5scrOYGy-LqLoux8Z8FEtlkNzJ52bGI9RvTJLy0FkqioAgQNDrspaCqH9Rgsv-KIQzejUrG-d0c8s23ld18w6oZ6_YO0_zwPHVsp0wNCw4UyM3nDaOKMmxWGMaulf10eO2gY9kVckLyGhbJzWdMWQOSjFhNI6XiHN7USdbpMgCJV-qicg1huG9Tvt-fTz47hp8nBf-vars0Pr1M8OsmE-pZmor7g6zWe8Szh3qNXp1tSy_jD2En5_Pvy5vDonGOnORtshlzbGqmfItw_kZut0LbadG9ZJzfGRUG1e6l4fCWrRBMKF-ar8hEf1k0k2zOgNxTSdWbQcqI120UzFCuXBfr3kHY1yBGfJoLaj3OAEXnbCvus94p5jrgwkMXYLhBhxeJxlQ_oZlgUsfXeNTifolPPUdWUWuSl7WlDxuGe_YvUlsw_LcUoX-tVs4WJ8HKAICjJi-X7sUFo6YjoEuHlr4iWIOmoT867NC-OW_t7UwCT-AZwSJ3EV7yLLKHQD4i3iYHeMz8OadFSwE-SXim0Tv0='
7,chioma-pretty- girl,Chioma's face card is a 100.,female,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,1AB4B7688AB80E96C4626A36F8E6CC639CA4A41C4F7ADB2AA78254E7810202F3,b'gAAAAABjY5zKuqwlftnN0NAAPaTencjgq4AjnPqRR7B-KKNf0ZIb40sv3ETEfnqwBsma6KuXR_AdxY4x6ttwA2kkloYbYRa0qMrhsPw42FpTlA6RcpVpOPdUd9GVxFJlcn88qDrebVQZ3QWlQM5YQ5522u3eF5n80rvyfA6A1dt__peZeitasRVpUGl14pgK5j_dvXvNG9tOK_3DIvh357kjABXAP_3YmllVKfSI3dlqQ48Z2Kgvkqfg6SGXVQS5R-pw1TDV0GX6z7ZL5F_mx13gFTRrlyQ4usAMRBq-U8I_oKVb1UqRrqoLfrkrUMLsHYsIMj1GUICEeTm0okxWLgePovprrtjI29M2o0dMh-4acRM_yAMXp5EqF-2v0cqopMr5rjeI1SlqFqnFpDMGwHAVsJBQKJ2UZuf1SfX6PTOhfsqYqqRhcCZdVhZF6gP9eu4meg_8KWpDc3H1dCvKClgyMyFPmKOJuJATU8_SlDt3wTPzJFMTsPpjjVUi_1Gk61u7zJYb1r1J'
8,damilare-the-handsome,He's a fine boy. Everyone loves his face(and him).,male,27eca2dc-d7df-474a-8f8f-1858152c711e,0173484DE80338CA9820C30BD58FF7D5F103D1EB7E9D39E2675F582B01747FEB,b'gAAAAABjY5zK7GjeMtk6a46AKWXQxbUXfVGE2oqh7vKgIrxpJPC2uFPlxkroV2gjW1_nur290PEhcibHveem2SF1I3dInWpDEqVkAiIfp2qaD5QfJXlJfsgNz2gxcNmxrYbQZn-8GCLpd3tu34Ykr6s3spHGTaahiQtMnzFpSZNT_pRvc44iHCx0EnsNadyvmT0spE3gcHPOOhAOJfuIUPXIpasGaANqFsQbYy2U_Ks5qVWj3qFx3v4BUYzhMTtrofApY1JrBnUcWKJeJgVWBNiEG6GDU6tfgrQfPLlnbH1u7rPRCdoAkRQYMoY_lPYKJhUdO9fYMlwbuIf_YcaqBX9i-7t0jLQxnWHWo8ZsGTq4TJnJ-mFHglm8JbjwRA2RFiKxSBcNAWSqjBo8d5kqFsKyT8QCKvdJ-Jrff2btv5z5BqWu187ZFaSDibYi4i6V_CxOv6aNy1Gb47v9fyBf7VXL3NCPPX5ixm5w4gw9f2LM0r9Rk1zPGOjweBENNILi2y1O-m6rh81BOjq-pFSEjSNOWNxnzpn0zw=='
9,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,male,f1df8270-4d60-4bd4-8959-ba7c384db5c4,CCC0A76A71E4507C7A36C20E9848CD4E0EAD681D75BAB9798FE68D1062304216,b'gAAAAABjY5zK6uk5iOTsMRlk6BZmjS07424MindrpckqlXPlrOUMOHIynPF76rRyqJKcKJqeHI3yRViwhZQ4ay4atz6-4hW0xAeYc9uGfVCf6kFx0cC-ntZ7fNBxRVHhcvoju0cMxmTrMp8DBQqCY2qPrvZraA5NEclyUV49-__sHEZDwR8N7QDpLSYTGSaFQ01PgasyM_0y8dNpk_iMdCIHYVQJzKkLk2tHi7Qjv2K0piz8x1TB-VdAoM_BzgcAKrgx-BxR2cmIv4OJ9hWwn7aP1l-ZM-YgLchPzHJ3h-dCn7iuTQgcgmezI2q6cxGl8S3pbCucJFknAyx4HvhXspYo_3yk_Bf4NMvoFS7sjKYsBdkGMasb-bHcDpN5bXsBYv7ETrYS_mVLqXIApBevHWELl9v60gJxFTqNxZqeKm9Rr9FIrSaeJTrkartZqDnviivj7B4n-FRfWclMk-sHHLsm7c9vftlOlq9Vv2RuRv-KcM-j9iiEE7YPsp9M1iTJtyFq0NSZjwQIFlZh35Lpzo0r9ig3bTKALw=='
10,emeka-the-businessman,Emeka only cares about containers. No time to waste.,male,9b3d75da-4887-4089-aee4-50de3954fdc9,6BB4AD3EF4D1B17FF5D11D0E142A4DAD1A30BB2F14728747FE87019F2073ED9B,b'gAAAAABjY5zK3UmhPMCmORDAYuOGlaps3LTDS0e-6b1PL8ITAJTKmEcnoMTs5JqgvnbeD7PrBrRAkG1Uc8rhw3PEuVI_kW3C717t-qdArnkwiyxSv6bJyN6hlcrsOeNbpY2w4doKjCOR8E2gKMtg4QcjR3XvkFW9JREWqxJjvS7PMHnl3GF43slDaWU_LQ-an8yHcLPelI5LB-Ki0b-3HWNrMZLMYG7U5D_b6CbCkVnq3CyVX7_Z47njoyAx2sJwMjVh-KmgDTxXAMX9D74x3M5sDcq3xU-9gs-R3KvtV-StCvNRxfSw3H1eRkk4WhurGSBP-Pt43VuFgKS6JSkjGSH2tExEAjBTQ07tNXrS2tiuaDu6h1qst-AoRs0cg1XZBy4ktg_X4g05bKpeDNSnEjl7Dr5Tq5uwrH757aSWSKAzKuAhMaN8UD8fqwa-boq21JNmvwAtOhEYW4iUcfukFrPF1wGI64QEiyI9JpR9mnQh_Vak3oIqzweCwjeN1A84rlVONKJN8jLPDSw5Lv3CkcqR_iOrlb9GVQ=='
